ds,y
2012-01-31,30760.000000000626
2012-02-01,27397.99999999903
2012-02-03,26568.000000000444
2012-02-04,19703.999999999916
2012-02-05,64542.99999999841
2012-02-06,319189.999999985
2012-02-07,55530.99999999911
2012-02-08,26410.999999999363
2012-02-09,19213.99999999992
2012-02-10,20450.000000000033
2012-02-11,12107.0
2012-02-12,
2012-02-13,9390.99999999997
2012-02-14,7434.9999999999545
2012-02-15,9702.999999999998
2012-02-16,8580.000000000018
2012-02-17,6079.999999999986
2012-02-18,4460.999999999981
2012-02-19,4002.999999999986
2012-02-20,9098.999999999998
2012-02-21,7719.999999999983
2012-02-22,4236.000000000013
2012-02-23,5731.999999999982
2012-02-25,
2012-02-26,4294.0000000000155
2012-02-27,4331.999999999996
2012-02-28,5000.000000000013
2012-02-29,4098.000000000024
2012-03-01,4426.999999999994
2012-03-02,4116.999999999977
2012-03-03,3810.999999999998
2012-03-04,5608.000000000021
2012-03-05,4067.000000000024
2012-03-07,114100.00000000381
2012-03-08,86102.0000000039
2012-03-09,44044.000000000786
2012-03-11,
2012-03-12,29204.999999999724
2012-03-13,26751.999999999254
2012-03-15,25510.999999998803
2012-03-17,27161.00000000036
2012-03-18,22781.000000001044
2012-03-19,
2012-03-20,71288.0000000031
2012-03-22,20899.999999999935
2012-03-23,11801.999999999949
2012-03-24,8085.000000000021
2012-03-25,6856.000000000034
2012-03-26,7319.000000000025
2012-03-28,5120.999999999998
2012-03-29,4429.999999999997
2012-03-30,4073.9999999999986
2012-03-31,4192.999999999989
2012-04-02,4265.000000000001
2012-04-03,4253.999999999986
2012-04-04,3575.0000000000064
2012-04-05,3325.9999999999923
2012-04-06,3179.9999999999923
2012-04-07,
2012-04-08,2577.9999999999923
2012-04-09,3299.999999999994
2012-04-10,3262.9999999999973
2012-04-11,2951.0000000000023
2012-04-12,3291.000000000003
2012-04-13,5731.999999999982
2012-04-14,3105.9999999999914
2012-04-15,3132.9999999999923
2012-04-16,3719.9999999999927
2012-04-17,3535.999999999984
2012-04-18,
2012-04-19,3853.0000000000073
2012-04-20,3158.0000000000055
2012-04-21,2226.0000000000005
2012-04-22,2744.000000000012
2012-04-23,3867.0000000000136
2012-04-24,3975.999999999984
2012-04-25,4309.999999999984
2012-04-26,5616.999999999982
2012-04-27,10640.999999999989
2012-04-28,5858.00000000001
2012-04-29,
2012-04-30,4136.708836744502
2012-05-02,3664.99999999999
2012-05-03,3601.0000000000146
2012-05-04,3073.999999999998
2012-05-05,3148.9999999999873
2012-05-06,9462.999999999978
2012-05-07,6858.999999999996
2012-05-08,4229.000000000003
2012-05-09,3580.9999999999886
2012-05-11,2616.000000000001
2012-05-12,2229.0000000000027
2012-05-13,2488.0
2012-05-14,
2012-05-15,2662.000000000008
2012-05-16,3096.000000000007
2012-05-17,2843.0000000000014
2012-05-18,2363.000000000006
2012-05-19,1769.000000000009
2012-05-20,1880.0000000000089
2012-05-21,2974.9999999999986
